time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
163800	-2,03726065057e-08	-4,28250847484e-09	0,0	-6,48873737591e-09	-6,48873737591e-09	-3,12289497948e-09	-2,41137563976e-09	-4,28250847484e-09	0,0	-5,87157586959e-10	1,23191396244e-10	3,37132369539e-10	-1,83907272697e-10	3,37132369539e-10	-3,27294975177e-10	8,02452328923e-10	5,14766071806e-10
164700	2,19405807107e-06	8,73186264704e-07	0,0	1,61668091276e-06	1,61668091276e-06	9,77798264821e-07	6,87826499094e-07	8,73186264704e-07	0,0	6,40857702642e-07	2,90074195939e-07	1,32416610124e-06	5,50859762316e-07	1,32416610124e-06	5,46028849606e-09	7,21174829103e-07	6,15502784155e-07
165600	-1,13366339582e-07	-4,11251135114e-08	0,0	-7,50596272563e-08	-7,50596272563e-08	-4,03078305681e-08	-3,51684179955e-08	-4,11251135114e-08	0,0	-4,5614005952e-08	-5,07712918643e-08	-7,14721789471e-08	-6,6745207573e-08	-7,14721789471e-08	3,2932227999e-08	1,23901540983e-09	-3,98141777339e-08
166500	2,44526735953e-08	1,65719337129e-08	0,0	8,90505690863e-09	8,90505690863e-09	6,75058436907e-10	8,23883631772e-09	1,65719337129e-08	0,0	2,95700140247e-08	-1,14648176215e-08	2,22770120192e-08	1,25847089505e-08	2,22770120192e-08	-2,99383643377e-08	-1,04099407978e-07	8,83381032165e-08
167400	-3,88111313946e-07	-1,41841385456e-07	0,0	-2,55976922849e-07	-2,55976922849e-07	-1,73278510866e-07	-8,41136417095e-08	-1,41841385456e-07	0,0	-7,83307174148e-08	-2,45606512662e-08	-1,69861894536e-07	-7,56156940732e-08	-1,69861894536e-07	5,6255721665e-09	-4,69983306175e-08	-1,28934447238e-07
168300	-3,67324853551e-07	-1,32968194829e-07	0,0	-2,43475406123e-07	-2,43475406123e-07	-1,50994939858e-07	-9,3828973364e-08	-1,32968194829e-07	0,0	-1,11150872957e-07	-3,87526430264e-08	-1,98325114796e-07	-8,57918623028e-08	-1,98325114796e-07	-6,06468094865e-09	-1,44303826139e-07	-4,11084772903e-08
169200	1,48980655609e-07	4,69785755298e-08	0,0	1,05325961106e-07	1,05325961106e-07	6,59409700102e-08	4,00027333852e-08	4,69785755298e-08	0,0	2,86301240017e-08	-3,11796580414e-08	2,87112664726e-08	1,55220154531e-08	2,87112664726e-08	1,48591698273e-08	5,94681563089e-08	-1,59358025481e-08
170100	-2,54063596575e-08	-1,08870918604e-08	0,0	-1,52400041653e-08	-1,52400041653e-08	1,43819098947e-08	-2,97069667257e-08	-1,08870918604e-08	0,0	5,68042639696e-09	5,75601564165e-09	-1,87884594262e-08	1,93113958629e-08	-1,87884594262e-08	1,36298160365e-08	-4,19005057294e-08	-2,77486547038e-08
171000	-5,2902028659e-07	-1,79953607711e-07	0,0	-3,61577077666e-07	-3,61577077666e-07	-1,91461548809e-07	-1,72174647056e-07	-1,79953607711e-07	0,0	-1,10676526164e-07	-1,37375554882e-08	-2,29807214684e-07	-7,54894422082e-08	-2,29807214684e-07	-1,33466289285e-08	-1,10068512472e-07	-1,06799176698e-07
171900	6,10194183061e-09	8,90017462747e-09	0,0	-2,27442054681e-09	-2,27442054681e-09	-1,54935833326e-08	1,31599385955e-08	8,90017462747e-09	0,0	1,85281897424e-08	5,83883302083e-10	2,35818479966e-08	4,69193453824e-09	2,35818479966e-08	1,2190592783e-08	2,56672112515e-09	8,87385521066e-09
172800	-3,86996943534e-08	-1,63169585848e-08	0,0	-2,3472752128e-08	-2,3472752128e-08	-1,82500649196e-08	-5,343799357e-09	-1,63169585848e-08	0,0	9,34908807776e-09	5,87579399966e-09	-7,03105501916e-09	6,07631760585e-09	-7,03105501916e-09	1,68929683293e-09	2,02404140928e-08	-2,89888605067e-08
173700	-3,33006104145e-07	-1,24436328061e-07	0,0	-2,17054020506e-07	-2,17054020506e-07	-1,19030141953e-07	-9,92087334669e-08	-1,24436328061e-07	0,0	-1,23514444409e-07	-1,13244615208e-08	-1,64199955955e-07	-9,60688991717e-08	-1,64199955955e-07	-2,66186820842e-08	-6,90634566497e-08	-6,87583687582e-08
174600	1,92026275008e-07	7,05333983393e-08	0,0	1,26317318488e-07	1,26317318488e-07	9,61413502229e-08	3,09084927942e-08	7,05333983393e-08	0,0	4,15535693038e-08	3,59031891354e-08	8,49313226777e-08	6,35608556875e-08	8,49313226777e-08	4,30094002887e-08	1,78762272111e-08	2,40009179538e-08
175500	-4,11697035601e-07	-1,4931073743e-07	0,0	-2,72623733297e-07	-2,72623733297e-07	-1,81508827175e-07	-9,2664586074e-08	-1,4931073743e-07	0,0	-1,13672231009e-07	-8,11318540678e-08	-2,40036822698e-07	-1,05768831211e-07	-2,40036822698e-07	5,27218979461e-09	-1,27276328101e-07	-1,18687871895e-07
176400	-1,89810832477e-07	-7,67674442358e-08	0,0	-1,18198004551e-07	-1,18198004551e-07	-7,18429714929e-08	-4,69746800111e-08	-7,67674442358e-08	0,0	-6,13853863243e-08	-3,07979006399e-08	-1,24031423044e-07	-4,58004364257e-08	-1,24031423044e-07	-2,47389772378e-08	-6,34625099074e-08	-3,60706037738e-08
177300	-1,31024203437e-08	4,23967734167e-09	0,0	-1,71726346605e-08	-1,71726346605e-08	-2,17264313905e-08	4,40524230165e-09	4,23967734167e-09	0,0	2,3245315633e-08	1,70753917525e-08	1,62710108386e-08	2,86698116002e-08	1,62710108386e-08	2,45364747993e-08	1,0734822638e-09	-9,3413615041e-09
178200	-8,28642266365e-08	-3,34210558503e-08	0,0	-5,16940570465e-08	-5,16940570465e-08	-3,1620041296e-08	-2,0345000828e-08	-3,34210558503e-08	0,0	-3,00878367416e-08	-1,61650778757e-08	-3,40584924263e-08	-4,58999440295e-08	-3,40584924263e-08	-4,41350923174e-08	1,68872982001e-08	-6,71823113818e-09
