time	sensor_1	sensor_2	sensor_3	sensor_4	sensor_5	sensor_6	sensor_7	sensor_8	sensor_9	sensor_10	sensor_11	sensor_12	sensor_13	sensor_14	sensor_15	sensor_16	sensor_17
28800	9996,17876232	9996,17876232	9996,17876232	9996,17876232	9996,11419752	9996,11419752	9996,11419752	9996,0022455	9996,0022455	9996,0022455	9996,0022455	9996,0022455	9996,0022455	9995,97610738	9995,97610738	9995,97610738	9995,97610738
29700	9995,57239852	9995,57239852	9995,57239852	9995,57239852	9995,49577504	9995,49577504	9995,49577504	9995,37693843	9995,37693843	9995,37693843	9995,37693843	9995,37693843	9995,37693843	9995,35029587	9995,35029587	9995,35029587	9995,35029587
30600	9993,75243176	9993,75243176	9993,75243176	9993,75243176	9993,64763635	9993,64763635	9993,64763635	9993,46000687	9993,46000687	9993,46000687	9993,46000687	9993,46000687	9993,46000687	9993,41397427	9993,41397427	9993,41397427	9993,41397427
31500	9994,49475519	9994,49475519	9994,49475519	9994,49475519	9994,40169551	9994,40169551	9994,40169551	9994,2406549	9994,2406549	9994,2406549	9994,2406549	9994,2406549	9994,2406549	9994,20254964	9994,20254964	9994,20254964	9994,20254964
32400	9995,54873222	9995,54873222	9995,54873222	9995,54873222	9995,47400247	9995,47400247	9995,47400247	9995,3407109	9995,3407109	9995,3407109	9995,3407109	9995,3407109	9995,3407109	9995,3092007	9995,3092007	9995,3092007	9995,3092007
33300	9995,20572457	9995,20572457	9995,20572457	9995,20572457	9995,12512675	9995,12512675	9995,12512675	9994,982221	9994,982221	9994,982221	9994,982221	9994,982221	9994,982221	9994,94787147	9994,94787147	9994,94787147	9994,94787147
34200	9995,69727394	9995,69727394	9995,69727394	9995,69727394	9995,62112809	9995,62112809	9995,62112809	9995,50389808	9995,50389808	9995,50389808	9995,50389808	9995,50389808	9995,50389808	9995,47602765	9995,47602765	9995,47602765	9995,47602765
35100	9993,76856593	9993,76856593	9993,76856593	9993,76856593	9993,66096572	9993,66096572	9993,66096572	9993,49227335	9993,49227335	9993,49227335	9993,49227335	9993,49227335	9993,49227335	9993,4513384	9993,4513384	9993,4513384	9993,4513384
36000	9997,15649597	9997,15649597	9997,15649597	9997,15649597	9997,10368802	9997,10368802	9997,10368802	9997,02028667	9997,02028667	9997,02028667	9997,02028667	9997,02028667	9997,02028667	9996,99615785	9996,99615785	9996,99615785	9996,99615785
36900	9996,5267875	9996,5267875	9996,5267875	9996,5267875	9996,46728474	9996,46728474	9996,46728474	9996,34195136	9996,34195136	9996,34195136	9996,34195136	9996,34195136	9996,34195136	9996,30946881	9996,30946881	9996,30946881	9996,30946881
