time	Vm	d/dt
83700	9995,5570296	0,00304490423881
84600	9995,65529486	0,00163775422131
85500	9996,11527824	0,00766638968656
86400	9997,03264882	0,0152895097048
87300	9997,18263931	0,00249984143902
88200	9997,18343364	1,32388911576e-05
89100	9997,57825847	0,00658041379544
90000	9997,86221384	0,00473258960989
90900	9997,75941363	-0,0017133369297
91800	9998,1074787	0,00580108452638
92700	9997,90692489	-0,00334256349837
93600	9997,85380741	-0,000885291375744
94500	9997,96490256	0,00185158583793
95400	9998,0535034	0,00147668065298
96300	9998,23562597	0,00303537617995
97200	9998,13472833	-0,00168162729621
98100	9998,07274042	-0,00103313175326
99000	9998,04271758	-0,000500380726013
99900	9998,01971333	-0,000383404136725
100800	9998,32209863	0,00503975495537
101700	9998,1181762	-0,00339870713221
102600	9998,01067987	-0,00179160548557
103500	9998,12371106	0,00188385315438
104400	9997,68675325	-0,00728263019112
105300	9997,74000238	0,000887485540837
106200	9997,68601782	-0,000899742775103
107100	9997,19529084	-0,00817878292998
108000	9996,28757242	-0,0151286403983
108900	9996,18621316	-0,00168932099726
109800	9995,50573405	-0,0113413183988
110700	9995,29029768	-0,00359060618193
111600	9994,85142997	-0,00731446189687
112500	9994,92021537	0,00114642339325
113400	9994,27096731	-0,0108208010234
114300	9994,21100832	-0,000999316545252
115200	9992,86978121	-0,0223537850801
116100	9992,54751596	-0,00537108748476
117000	9991,75718414	-0,0131721971267
117900	9994,10597816	0,0391465670319
118800	9992,80415165	-0,0216971084937
119700	9996,84474151	0,0673431643667
120600	10008,5684728	0,195395520724
121500	9995,97310932	-0,209922723939
122400	10007,5590377	0,193098806359
123300	10010,2156448	0,0442767856291
124200	10010,1660168	-0,0008271340245
125100	10015,0521389	0,0814353685902
126000	10013,2224552	-0,0304947287944
126900	10013,5663113	0,00573093528825
127800	10011,5390144	-0,033788281195
128700	10014,7572558	0,0536373555356
129600	10014,1379701	-0,0103214278125
130500	10011,6452925	-0,0415446262604
131400	10011,9994856	0,00590321731027
132300	10011,8972292	-0,00170427232715
133200	10010,9222494	-0,0162496634127
134100	10006,5463025	-0,0729324492567
135000	10009,8514518	0,0550858220875
135900	10011,7632476	0,0318632629986
136800	10007,9005162	-0,064378856309
137700	10014,6386313	0,112301918264
138600	10018,2962861	0,0609609140868
139500	10006,9956989	-0,18834312033
140400	10003,3001019	-0,0615932830137
141300	9998,67639734	-0,0770617429863
142200	9999,72400392	0,0174601095848
143100	9998,39582485	-0,0221363178634
144000	9994,54896491	-0,0641143321918
144900	9994,72689823	0,00296555526414
145800	9995,30117585	0,00957129369554
146700	9993,82663176	-0,0245757348324
147600	9993,83491466	0,000138048217347
148500	9992,79971283	-0,0172533638382
149400	9991,3336579	-0,0244342488297
150300	9992,49998419	0,0194387714989
151200	9991,23931924	-0,0210110823473
152100	9991,31026642	0,00118245290381
153000	9991,24273482	-0,00112552666724
153900	9990,55659437	-0,011435674217
154800	9990,31664728	-0,00399911806653
155700	9990,47233913	0,00259486412472
156600	9991,11636084	0,0107336951711
157500	9990,3285818	-0,0131296506356
158400	9990,87035444	0,00902954393171
159300	9991,22381857	0,00589106891748
160200	9992,87665233	0,0275472292336
161100	9992,75548485	-0,00201945796625
162000	9993,23386616	0,00797302191007
162900	9993,02443868	-0,00349045808128
163800	9993,16395969	0,00232535018837
164700	9993,84372801	0,0113294720684
165600	9993,97865848	0,00224884107838
166500	9993,94973435	-0,000482068745077
167400	9994,4339304	0,00806993414608
168300	9994,93473657	0,00834676953521
169200	9994,72543266	-0,00348839861805
170100	9994,76034744	0,00058191303915
171000	9995,55274322	0,0132065964185
171900	9995,54332196	-0,000157021022884
172800	9995,60652652	0,00105340928297
173700	9996,19494968	0,0098070526083
174600	9995,84535261	-0,00582661783607
175500	9996,63937416	0,013233692562
176400	9997,07630197	0,00728213011716
177300	9997,1100232	0,000562020533016
178200	9997,32545622	0,00359055032222
179100	9996,89974841	-0,0070951301998
180000	9997,40076351	0,00835025166019
180900	9997,79326519	0,00654169474177
181800	9997,8576323	0,00107278519617
182700	9997,85900295	2,28440450883e-05
183600	9997,80430563	-0,000911621923084
184500	9997,98251258	0,00297011586138
185400	9997,76237715	-0,00366892383302
186300	9998,15573595	0,00655598005569
187200	9998,01026892	-0,00242445060903
188100	9998,07886335	0,00114324044625
189000	9998,06420864	-0,000244245067794
189900	9998,11764946	0,000890680304807
190800	9998,12069735	5,07981480041e-05
191700	9997,89996482	-0,00367887539957
192600	9997,65365124	-0,00410522644443
193500	9997,91204343	0,00430653655703
194400	9997,76247361	-0,00249283035322
195300	9997,62698558	-0,00225813383283
196200	9997,41476206	-0,00353705871078
197100	9997,28108878	-0,00222788799759
198000	9997,17932208	-0,00169611156953
198900	9997,09940319	-0,00133198150716
199800	9996,99964114	-0,0016627008093
200700	9996,21351567	-0,0131020913092
201600	9994,8652642	-0,0224708578264
202500	9995,52751532	0,0110375187155
203400	9993,8975075	-0,0271667970362
204300	9993,53550293	-0,00603340944435
205200	9991,72140565	-0,030234954601
206100	9991,78644236	0,00108394507818
207000	9995,32920601	0,0590460608836
207900	9995,22084747	-0,00180597573656
208800	10000,1794607	0,0826435542723
209700	10004,2870178	0,0684592846621
210600	10000,0525315	-0,0705747725587
211500	10008,777733	0,145420026016
212400	10001,772498	-0,116753917061
213300	10008,3449438	0,109540763727
214200	10012,7458027	0,0733476481999
215100	10004,1091772	-0,14394375905
216000	10010,010492	0,0983552465928
216900	10014,7898668	0,07965624696
217800	10003,5477779	-0,187368147438
218700	10008,9325791	0,0897466855508
219600	10016,9589658	0,133773112464
220500	10021,4906294	0,0755277258264
221400	10024,3394409	0,0474801929234
222300	10004,1818794	-0,335959358819
223200	9995,59057479	-0,143188410154
224100	10002,5129489	0,115372901393
225000	10003,1466828	0,0105622321338
225900	10000,5055973	-0,0440180923104
226800	9994,90708913	-0,0933084689211
227700	9997,01567273	0,0351430599882
228600	9996,40444664	-0,0101871015949
229500	9994,261963	-0,035708060565
230400	9992,36114451	-0,0316803082264
231300	9993,85069794	0,0248258905673
232200	9992,81488057	-0,0172636227948
233100	9991,97501089	-0,0139978281291
234000	9993,23911772	0,0210684472879
234900	9992,1577685	-0,0180224871338
235800	9991,57869545	-0,00965121740628
236700	9992,32464592	0,0124325077729
237600	9992,45051953	0,00209789354446
238500	9992,02835307	-0,00703610769127
239400	9991,20687067	-0,0136913732452
240300	9990,57946422	-0,0104567742377
241200	9990,35723325	-0,00370384951423
242100	9990,69768488	0,00567419392301
243000	9990,25542881	-0,00737093463346
243900	9988,78397413	-0,0245242446036
244800	9989,40042309	0,0102741493401
245700	9990,49006955	0,0181607742533
246600	9992,12020978	0,027169003858
247500	9991,68721993	-0,00721649754235
248400	9991,58559573	-0,00169373660901
249300	9992,04449621	0,00764834134458
250200	9992,32931967	0,00474705775453
251100	9993,36605747	0,0172789631762
252000	9994,10724127	0,0123530633493
252900	9994,11107306	6,38632458201e-05
253800	9993,75977981	-0,00585488750182
254700	9993,74849157	-0,00018813735287
255600	9994,49315213	0,0124110092915
256500	9995,19273106	0,0116596488369
257400	9995,20941031	0,000277987547482
258300	9995,45520455	0,00409657058271
259200	9995,76858454	0,00522299993554
260100	9996,28067925	0,00853491175473
261000	9996,09069528	-0,00316639950582
261900	9996,14760276	0,000948458071919
262800	9997,24455495	0,0182825365655
263700	9996,95790421	-0,00477751241933
264600	9997,31512187	0,00595362769427
265500	9997,20135177	-0,00189616831891
266400	9997,52187751	0,00534209563633
267300	9997,77496565	0,00421813562389
