2019-01-29 16:05:42.461319;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:42.461768;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:42.462449;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:42.463432;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:42.464126;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:42.995597;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:42.996507;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:42.997293;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:42.997881;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:42.998692;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:42.999337;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:42.999847;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.000134;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:43.462382;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.464249;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:43.465583;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.467106;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:43.468727;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.471223;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:43.472410;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.473005;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:43.957503;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.957919;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:43.958219;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.958412;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:43.958574;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.958730;sensor_3-branch_25;I_real;0.0
2019-01-29 16:05:43.958880;sensor_4-node_b5;Vm;10999.747696642075
2019-01-29 16:05:43.959031;sensor_4-branch_36;I_real;0.0
2019-01-29 16:05:44.458940;sensor_1-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.460129;sensor_1-branch_19;I_real;0.0674359622787351
2019-01-29 16:05:44.460464;sensor_2-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.460829;sensor_2-branch_24;I_real;0.06743596230335192
2019-01-29 16:05:44.461170;sensor_3-node_b5;Vm;10999.747696642075
2019-01-29 16:05:44.461377;sensor_3-branch_25;I_real;0.0
